RA,Nome Anonimizado,Fase,Pedra_Atual,IEG,IPS,IPP,IPV,Idade_Atual,Anos_de_Passos_Magicos
RA-921,Aluno-921,ALFA,Ametista,8.6631016045,7.51,7.5,7.5,8,1
RA-922,Aluno-922,ALFA,Topázio,9.7,3.14,7.5,10.01,9,0
RA-922,Aluno-922,1C,Topázio,9.5227272725,7.51,7.8125,8.17,10,1
RA-923,Aluno-923,ALFA,Topázio,9.9,7.52,7.5,10.01,8,0
RA-923,Aluno-923,1D,Ametista,7.9545454545,7.51,8.125,8.17,9,1
RA-924,Aluno-924,ALFA,Agata,5.6,7.52,5.625,5.93,8,0
RA-924,Aluno-924,ALFA,Agata,4.598930481,7.51,7.1875,7.415,9,1
RA-925,Aluno-925,ALFA,Ametista,8.9,7.52,5.625,5.595,8,0
RA-925,Aluno-925,ALFA,Agata,7.005347594,7.51,7.1875,7.33,9,1
RA-926,Aluno-926,ALFA,Ametista,10.0,3.77,7.5,9.51,9,0
RA-926,Aluno-926,1G,Ametista,9.7727272725,7.51,8.333333333,7.22,10,1
RA-927,Aluno-927,ALFA,Ametista,9.7,3.77,7.5,9.255,9,0
RA-927,Aluno-927,1G,Ametista,9.318181818,7.51,8.333333333,7.22,10,1
RA-928,Aluno-928,ALFA,Topázio,10.0,7.52,8.75,9.67,8,0
RA-928,Aluno-928,1K,Topázio,10.0,7.51,8.541666667,8.59,9,1
RA-929,Aluno-929,ALFA,Topázio,9.8,7.52,8.75,9.67,8,0
RA-929,Aluno-929,ALFA,Ametista,9.4736842105,7.51,8.125,7.58,9,1
RA-93,Aluno-93,5,Topázio,9.7,8.1,,9.083,15,6
RA-93,Aluno-93,FASE 7,,,3.14,,,16,7
RA-93,Aluno-93,7E,Topázio,9.931666667,6.2575,7.5,7.5,17,3
RA-930,Aluno-930,ALFA,Topázio,8.8,7.52,8.75,9.0,8,0
RA-930,Aluno-930,ALFA,Ametista,9.7368421055,7.51,7.8125,7.5,9,1
